t_sec,seq,imu_hz,quat_w,quat_x,quat_y,quat_z,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,proj_g_x,proj_g_y,proj_g_z
3.848159587,749,200.035606338,0.999881983,-0.014125000,-0.005785000,-0.001523000,0.005163068,0.000439387,0.000646016,0.111010000,-0.283403993,9.797255516,-0.011611659,0.028229044,-0.999534036
3.852810323,750,200.035606338,0.999881983,-0.014115000,-0.005781000,-0.001523000,0.002722871,0.002043205,-0.001120397,0.105981998,-0.285259992,9.792691231,-0.011603630,0.028209060,-0.999534694
3.857958636,751,200.035606338,0.999881983,-0.014104000,-0.005774000,-0.001520000,0.004544680,0.002007268,0.003934705,0.106761001,-0.276129991,9.799985886,-0.011589514,0.028187119,-0.999535476
3.862483674,752,200.035606338,0.999881983,-0.014096000,-0.005772000,-0.001512000,0.000419420,-0.000409158,0.001416003,0.109371997,-0.288475007,9.801779747,-0.011585264,0.028171219,-0.999535974
3.867652595,753,200.035606338,0.999881983,-0.014097000,-0.005771000,-0.001511000,-0.000669875,0.001444766,-0.000493527,0.113668002,-0.289772987,9.801977158,-0.011583239,0.028173232,-0.999535940
3.872693450,754,200.035606338,0.999881983,-0.014099000,-0.005771000,-0.001513000,-0.000178320,-0.000976337,0.000758991,0.114935003,-0.274533987,9.802884102,-0.011583301,0.028177209,-0.999535828
3.877757250,755,200.035606338,0.999881983,-0.014098000,-0.005774000,-0.001510000,-0.001163733,-0.001108197,0.001763446,0.119689003,-0.278245986,9.803055763,-0.011589213,0.028175234,-0.999535815
3.882434162,756,200.035606338,0.999881983,-0.014100000,-0.005776000,-0.001507000,-0.000202004,-0.000277577,-0.000702303,0.121148996,-0.291074991,9.799821854,-0.011593134,0.028179264,-0.999535656
3.887615276,757,200.035606338,0.999881983,-0.014099000,-0.005776000,-0.001510000,0.001399527,0.000876033,0.000095557,0.109833002,-0.288924009,9.797708511,-0.011593216,0.028177229,-0.999535712
3.892666595,758,200.035606338,0.999881983,-0.014093000,-0.005776000,-0.001511000,0.000178216,-0.001577167,-0.001288437,0.109780997,-0.281641990,9.800546646,-0.011593226,0.028165218,-0.999536050
